cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
2,58,229.915,4893,6.477576471887303e-06,14.949
3,59,218.224,1975,3.6306638018800254e-07,48.322
4,60,231.852,1520,7.773014611306383e-07,5.742
5,61,230.968,815,1.9136957459063937e-07,3.957
6,62,227.123,361,2.865375418435242e-08,2.797
7,63,229.656,351,3.837753587576009e-09,3.571
8,64,231.754,155,3.991105796175674e-11,1.954
9,65,241.13,152,2.333882538851321e-07,1.668
10,66,238.127,114,1.7176990077392385e-11,0.906
11,67,229.45,76,1.7588460422126974e-12,0.808
12,68,236.375,76,7.796742279914435e-11,0.895
13,69,242.36,76,3.710037055061732e-11,0.937
all,all,228.395,10564,8.0753675641412e-06,50.636
