cluster,nodeCluster,temperature,ice_particles,ice_mass,ice_length
1,41,217.148,1348,1.612834009831705e-07,37.322
2,42,229.132,8836,8.424524569176028e-06,28.675
3,43,229.26,114,3.4967170601574923e-09,1.864
4,44,227.673,114,1.7587304590590588e-10,1.89
5,45,248.83,38,1.1177956736421662e-10,0.778
6,46,242.03,38,8.803542636804854e-11,0.764
7,47,239.69,38,1.1822989567558613e-12,0.689
8,48,237.07,38,9.74523915867615e-13,0.66
9,49,232.32,38,2.583252605288683e-13,0.661
all,all,227.789,10602,8.589682790407212e-06,50.977
