Timesteps,TotalParticles,noIce,Ice,NewIce,TotalIcePercentage,Temp,TotalNonIce,newIcePercentage
0.06,424,421,3,3,0.71,596.57,424,0.71
0.07,849,718,131,128,15.43,455.57,846,15.13
0.08,1274,770,504,373,39.56,385.02,1143,32.63
0.09,1701,918,783,415,46.03,347.19,1197,34.67
0.1,2125,1331,794,414,37.36,322.4,1342,30.85
0.11,2215,1402,813,406,36.7,319.03,1421,28.57
0.12,2227,1419,808,425,36.28,317.41,1414,30.06
0.13,2216,1431,785,443,35.42,318.26,1408,31.46
0.14,2215,1431,784,427,35.4,318.98,1430,29.86
0.15,2200,1399,801,410,36.41,319.69,1416,28.95
0.16,2204,1408,796,432,36.12,319.52,1403,30.79
0.17,2217,1419,798,429,35.99,318.56,1421,30.19
0.18,2217,1426,791,434,35.68,319.31,1419,30.58
0.19,2232,1436,796,421,35.66,318.07,1441,29.22
0.2,2221,1406,815,405,36.7,317.84,1425,28.42
